difficulty,mean,std,n_subjects,sem,trials
2.0,4781.493184743184,1547.9962578884542,37,254.4890171493446,279
3.0,4097.064895521145,1434.6079487051923,44,216.27528577802494,305
4.0,3765.729664563831,1270.7447778370283,45,189.43144701976422,377
5.0,3778.1324177324177,1288.3806429083952,37,211.80847295796534,374
6.0,3137.0538106480412,1010.5470447322552,39,161.81703260616283,423
7.0,3053.753152704778,1093.7779056151833,37,179.8159800201108,453
8.0,3142.5929414236557,1210.7985182390578,35,204.66230386174462,372
9.0,2705.772037283704,969.5960810845143,45,144.5388498681581,473
10.0,2879.9547895233422,989.6367636816968,40,156.47531147359817,470
11.0,2622.0139899933038,823.2761170717246,45,122.72675746829674,560
