difficulty,mean,std,n_subjects,sem,trials
2.0,0.7036163536163537,0.14048919414782887,37,0.023096281245248797,396
3.0,0.7445054546034937,0.19712568274093237,45,0.029385761781318787,404
4.0,0.8033416453591893,0.14338471086057944,45,0.021374530694560533,471
5.0,0.8627624627624628,0.10954342850304148,37,0.01800882871185683,433
6.0,0.9428978428978428,0.07693273951026894,39,0.012319097544947049,447
7.0,0.9773763063236748,0.04379210660706559,37,0.00719937797816983,464
8.0,0.9643221857507571,0.06793115856893069,35,0.011482461538633859,387
9.0,0.9938271604938271,0.023606571822188838,45,0.003519059954009688,476
10.0,0.9915260908681962,0.023058285515999952,40,0.003645835058451538,475
11.0,0.9869703571664357,0.03154352126226265,45,0.004702230519475283,568
